"year","country","flu_searches"
2007,"Ukraine",21139
2007,"United States",73300
2007,"Uruguay",7430
2008,"Argentina",9299
2008,"Australia",25091
2008,"Austria",43065
2008,"Belgium",4696
2008,"Bolivia",16526
2008,"Brazil",12637
2008,"Bulgaria",35190
2008,"Canada",84826
2008,"Chile",412
2008,"France",4853
2008,"Germany",43582
2008,"Hungary",5430
2008,"Japan",4799
2008,"Mexico",60574
2008,"Netherlands",1801
2008,"New Zealand",1883
2008,"Norway",2271
2008,"Paraguay",14820
2008,"Peru",11946
2008,"Poland",2617
2008,"Romania",39262
2008,"Russia",20976
2008,"South Africa",135377
2008,"Spain",2209
2008,"Sweden",169
2008,"Switzerland",3345
2008,"Ukraine",20457
2008,"United States",92943
2008,"Uruguay",6339
2009,"Argentina",7952
2009,"Australia",22796
2009,"Austria",47117
2009,"Belgium",10320
2009,"Bolivia",14516
2009,"Brazil",10984
2009,"Bulgaria",37187
2009,"Canada",141118
2009,"Chile",1074
2009,"France",8042
2009,"Germany",45497
2009,"Hungary",7913
2009,"Japan",21061
2009,"Mexico",59050
2009,"Netherlands",3062
2009,"New Zealand",2644
2009,"Norway",6877
2009,"Paraguay",13894
2009,"Peru",10432
2009,"Poland",5521
2009,"Romania",41179
2009,"Russia",29361
2009,"South Africa",150344
2009,"Spain",4011
2009,"Sweden",474
2009,"Switzerland",5836
2009,"Ukraine",25627
2009,"United States",139394
2009,"Uruguay",5770
2010,"Argentina",6946
2010,"Australia",12571
2010,"Austria",32008
2010,"Belgium",2733
2010,"Bolivia",11752
2010,"Brazil",8970
2010,"Bulgaria",23801
2010,"Canada",67855
2010,"Chile",848
2010,"France",1564
2010,"Germany",34000
2010,"Hungary",2754
2010,"Japan",2106
2010,"Mexico",59504
2010,"Netherlands",1145
2010,"New Zealand",1742
2010,"Norway",3338
2010,"Paraguay",10017
2010,"Peru",8541
2010,"Poland",1264
2010,"Romania",32246
2010,"Russia",23322
2010,"South Africa",129539
2010,"Spain",727
2010,"Sweden",106
2010,"Switzerland",1044
2010,"Ukraine",20098
2010,"United States",73160
2010,"Uruguay",5087
2011,"Argentina",5541
2011,"Australia",13138
2011,"Austria",34888
2011,"Belgium",4477
2011,"Bolivia",10859
2011,"Brazil",8345
2011,"Bulgaria",25930
2011,"Canada",73778
2011,"Chile",315
2011,"France",3089
2011,"Germany",34730
2011,"Hungary",4159
2011,"Japan",7054
2011,"Mexico",49524
2011,"Netherlands",1627
2011,"New Zealand",1674
2011,"Norway",4852
2011,"Paraguay",9347
2011,"Peru",7053
2011,"Poland",2377
2011,"Romania",34686
2011,"Russia",26352
2011,"South Africa",129150
2011,"Spain",1224
2011,"Sweden",201
2011,"Switzerland",2314
2011,"Ukraine",19755
2011,"United States",86415
2011,"Uruguay",4686
2012,"Argentina",6155
2012,"Australia",27452
2012,"Austria",40088
2012,"Belgium",4758
2012,"Bolivia",10035
2012,"Brazil",7685
2012,"Bulgaria",16289
2012,"Canada",101581
2012,"Chile",696
2012,"France",3840
2012,"Germany",35974
2012,"Hungary",3532
2012,"Japan",15759
2012,"Mexico",59964
2012,"Netherlands",2023
2012,"New Zealand",2373
2012,"Norway",4606
2012,"Paraguay",9010
2012,"Peru",6769
2012,"Poland",1670
2012,"Romania",32288
2012,"Russia",27213
2012,"South Africa",136519
2012,"Spain",1938
2012,"Sweden",368
2012,"Switzerland",2944
2012,"Ukraine",19375
2012,"United States",122918
2012,"Uruguay",5070
2013,"Argentina",6529
2013,"Australia",19071
2013,"Austria",50229
2013,"Belgium",9622
2013,"Bolivia",9129
2013,"Brazil",8676
2013,"Bulgaria",17955
2013,"Canada",104231
2013,"Chile",1180
2013,"France",7606
2013,"Germany",40928
2013,"Hungary",4224
2013,"Japan",24627
2013,"Mexico",63665
2013,"Netherlands",2721
2013,"New Zealand",2260
2013,"Norway",4654
2013,"Paraguay",11755
2013,"Peru",6777
2013,"Poland",2702
2013,"Romania",33899
2013,"Russia",33134
2013,"South Africa",140671
2013,"Spain",2769
2013,"Sweden",556
2013,"Switzerland",6379
2013,"Ukraine",21955
2013,"United States",130196
2013,"Uruguay",5005
2014,"Argentina",7073
2014,"Australia",30705
2014,"Austria",51635
2014,"Belgium",5475
2014,"Bolivia",9065
2014,"Brazil",8855
2014,"Bulgaria",25346
2014,"Canada",121388
2014,"Chile",1075
2014,"France",2923
2014,"Germany",38029
2014,"Hungary",3994
2014,"Japan",33764
2014,"Mexico",69945
2014,"Netherlands",1680
2014,"New Zealand",3322
2014,"Norway",4072
2014,"Paraguay",13242
2014,"Peru",6555
2014,"Poland",1536
2014,"Romania",34484
2014,"Russia",30966
2014,"South Africa",155577
2014,"Spain",3010
2014,"Sweden",266
2014,"Switzerland",3870
2014,"Ukraine",20112
2014,"United States",99848
2014,"Uruguay",5390
2015,"Argentina",4841
2015,"Australia",20355
2015,"Austria",40143
2015,"Belgium",11111
2015,"Bolivia",6407
2015,"Brazil",6603
2015,"Bulgaria",16569
2015,"Canada",68006
2015,"Chile",431
2015,"France",10760
2015,"Germany",28453
2015,"Hungary",6098
2015,"Japan",24139
2015,"Mexico",43436
2015,"Netherlands",1666
2015,"New Zealand",807
2015,"Norway",4094
2015,"Paraguay",9894
2015,"Peru",4020
2015,"Poland",1956
2015,"Romania",23679
2015,"Russia",21447
2015,"South Africa",98940
2015,"Spain",4863
2015,"Sweden",328
2015,"Switzerland",6390
2015,"Ukraine",12101
2015,"United States",61295
2015,"Uruguay",4195
